fake_face,fake_motion,fake_sound,file_id,modality
1,1,0,fcb20ca1-253d-40fa-bda9-f602e5d04946.mp4,video
1,1,0,4b30c1c4-3491-4f85-ab35-56d84ea84f24.mp4,video
1,1,0,968dcbcd-77e9-49e7-8a7a-fe3cad2c9a98.mp4,video
1,1,0,17db546c-5299-4df6-93ac-cfcad8b36446.mp4,video
1,1,0,0e5e136f-1191-4576-bad8-8db06c7651be.mp4,video
1,1,0,791fc605-5feb-44f3-bd7b-3cd89ca5af34.mp4,video
1,1,0,f596d98f-d40d-4ce6-a965-3f2efa79df90.mp4,video
1,1,0,9b7a88d1-b4fd-45f4-b615-6b4ca3e5eff5.mp4,video
1,1,0,98d1459b-31f4-4e93-898a-15117ac6d581.mp4,video
1,1,0,d661faf6-4963-4d32-965c-8669544b61a1.mp4,video
1,1,0,4031bbc8-bea9-4ba7-bb70-66c5c7ce0b39.mp4,video
1,1,0,2cfe6b28-c3cc-4081-b0fe-2f243855793c.mp4,video
1,1,0,3b112e10-3f8f-4c73-bff7-79914e6a7c2a.mp4,video
1,1,0,8926469b-8018-468a-a3f1-477906131801.mp4,video
1,1,0,bea74bbc-da2b-4840-b526-b817b3abd2ae.mp4,video
1,1,0,ad080c9e-7bd2-4165-aa6d-41dbd813e7ff.mp4,video
1,1,0,cb2fd50f-9eb3-4eb0-8745-6d6d114563ac.mp4,video
1,1,0,318ff95f-28d2-4ec7-acbf-f96300d4a726.mp4,video
1,1,0,0b170bea-97c7-4449-a0ad-f832b1e8f9df.mp4,video
1,1,0,7ee7432f-e826-426a-82f5-37936ef4944b.mp4,video
1,1,0,ab607964-2cc4-48b2-97e4-56d3fcd09583.mp4,video
1,1,0,6e3d8bb6-6148-4799-9306-51f207da4e98.mp4,video
1,1,0,889e301a-8917-4ffe-835d-f85c150ef999.mp4,video
1,1,0,3e973bf5-8bf0-4827-8478-539697b00be9.mp4,video
1,1,0,ac651568-5889-445e-bcc2-08acde74697c.mp4,video
1,1,0,d29b231e-6fb2-4c7b-8329-a5c6f1b4129e.mp4,video
1,1,0,c98dd76e-5398-4a5a-b8db-4d5becf08a85.mp4,video
1,1,0,89b648b5-96ed-4cb4-866c-b12fe23cdb39.mp4,video
1,1,0,b6147822-1236-43ce-af56-343ec49e8fb3.mp4,video
1,1,0,cdae154c-6ed3-4660-82f5-ab3009de7901.mp4,video
1,1,0,eefada2a-0103-4053-b0ac-ff9a22e67439.mp4,video
1,1,0,6852e9ec-6fca-406e-9635-05214812d93a.mp4,video
1,1,0,f0b398b1-7889-4f83-ab41-bf7b46ed000a.mp4,video
1,1,0,e6c672cc-ae24-413a-acf9-00549b08e5fc.mp4,video
1,1,0,ca7dc8d1-85d9-4b8f-9985-51a9975839f3.mp4,video
1,1,0,3cc9007b-f24d-49ef-ae98-3351d06e2c56.mp4,video
1,1,0,9e294f2c-48f7-49cc-9ad0-8555dcd081d4.mp4,video
1,1,0,4abe51c5-78f1-4c07-9602-c4442959ab0d.mp4,video
1,1,0,bf9284c0-a0ae-4751-9d9c-95996f2b90c6.mp4,video
1,1,0,52b6620f-ce50-4b50-a14b-63512ae308dc.mp4,video
1,1,0,225e224c-9d41-461d-9bb4-7972b46a1d3d.mp4,video
1,1,0,cc6ef502-7abc-4a49-bc4a-5304fdf15ea4.mp4,video
1,1,0,2466d0bc-f11b-418e-9388-e3d382498034.mp4,video
1,1,0,eaf258f9-5dec-4ee3-bdc4-ce2841f6470b.mp4,video
1,1,0,fcae060a-ec9a-4144-8a55-63f2a7aac0a3.mp4,video
1,1,0,18d8c000-e8ba-4202-9dd7-ca5fdbde53ea.mp4,video
1,1,0,bef75327-4ec9-4434-8c45-5d19090321c6.mp4,video
1,1,0,f71afe58-9704-4571-a573-237eef217498.mp4,video
1,1,0,2cbd8682-76ca-45c5-bdc7-519a0a6ba280.mp4,video
